Scenario,Month,PV_CO2_g,Battery_CO2_g,Grid_CO2_g,Total_CO2_g
NoPV,January,0.0,0.0,0.0,0.0
NoPV,February,0.0,0.0,0.0,0.0
NoPV,March,0.0,0.0,0.0,0.0
NoPV,April,0.0,0.0,0.0,0.0
NoPV,May,0.0,0.0,0.0,0.0
NoPV,June,0.0,0.0,0.0,0.0
NoPV,July,0.0,0.0,0.0,0.0
NoPV,August,0.0,0.0,0.0,0.0
NoPV,September,0.0,0.0,0.0,0.0
NoPV,October,0.0,0.0,0.0,0.0
NoPV,November,0.0,0.0,0.0,0.0
NoPV,December,0.0,0.0,0.0,0.0
PV_NoBattery,January,18808.15873305573,0.0,519976.5802598379,538784.7389928936
PV_NoBattery,February,30381.20641376188,0.0,445638.7888720054,476019.9952857673
PV_NoBattery,March,41110.566863466534,0.0,370591.59603228996,411702.1628957565
PV_NoBattery,April,43727.885029595534,0.0,267038.1948599101,310766.07988950564
PV_NoBattery,May,49452.443468928286,0.0,234627.6378783136,284080.0813472419
PV_NoBattery,June,38041.615777560844,0.0,157270.4205196366,195312.03629719745
PV_NoBattery,July,30904.968642325643,0.0,155096.44942282216,186001.4180651478
PV_NoBattery,August,38588.68759893553,0.0,170537.74279894528,209126.43039788082
PV_NoBattery,September,35952.5267455973,0.0,307515.0256113197,343467.552356917
PV_NoBattery,October,27212.731978404026,0.0,360955.6835555331,388168.41553393716
PV_NoBattery,November,18538.7648406968,0.0,473761.41650835687,492300.1813490537
PV_NoBattery,December,14215.288086650951,0.0,572686.5831823697,586901.8712690207
5kWh,January,0.0,0.0,0.0,0.0
5kWh,February,0.0,0.0,0.0,0.0
5kWh,March,0.0,0.0,0.0,0.0
5kWh,April,0.0,0.0,0.0,0.0
5kWh,May,0.0,0.0,0.0,0.0
5kWh,June,0.0,0.0,0.0,0.0
5kWh,July,0.0,0.0,0.0,0.0
5kWh,August,0.0,0.0,0.0,0.0
5kWh,September,0.0,0.0,0.0,0.0
5kWh,October,0.0,0.0,0.0,0.0
5kWh,November,0.0,0.0,0.0,0.0
5kWh,December,0.0,0.0,0.0,0.0
8kWh,January,27235.3609986123,8058.792295940865,493401.7532839376,528695.9065784907
8kWh,February,43049.74719520314,12134.488062967213,405623.86990245886,460808.1051606292
8kWh,March,61088.22977335392,19161.868574002918,307403.05323468515,387653.151582042
8kWh,April,62579.70310667985,18086.9530804354,207394.3138684743,288060.97005558957
8kWh,May,68353.0804627418,18126.965453359255,174851.81132378368,261331.85723988473
8kWh,June,56135.00596165732,17354.098978744063,100043.21317306392,173532.31811346533
8kWh,July,50286.034054426644,18589.766433649515,93794.48154043028,162670.28202850645
8kWh,August,58579.766973090314,19175.617839651466,107303.86016104699,185059.24497378877
8kWh,September,54958.741224942445,18229.623051194925,247400.67340678402,320589.0376829214
8kWh,October,43782.226601494025,15883.438017479248,308578.155807417,368243.8204263903
8kWh,November,31331.213617796642,12254.837302414957,433349.631594441,476935.6825146526
8kWh,December,17232.892932298648,2869.280352245412,563224.7896398462,583326.9629243902
12kWh,January,29390.680336004876,10110.653017602755,486635.49828512396,526136.8316387316
12kWh,February,47014.724091691176,15934.477125794258,393092.95358813636,456042.1548056218
12kWh,March,69250.48053591649,26979.088773317122,281624.8390059942,377854.40831522783
12kWh,April,70956.23571035486,26114.608691389592,180922.16381806583,277993.0082198103
12kWh,May,77529.86382873422,26925.333049816796,145838.1467497511,250293.3436283021
12kWh,June,62766.03259867678,23702.306926907597,79109.24172495324,165577.58125053762
12kWh,July,59013.208526224305,26943.210982493136,66248.00368293405,152204.4231916515
12kWh,August,67631.07132754283,27838.527788268053,78736.88330668039,174206.48242249127
12kWh,September,64017.93139144145,26913.67762708867,218763.96962675353,309695.57864528365
12kWh,October,49826.114163146085,21656.622792247083,289540.3917287183,361023.12868411146
12kWh,November,35396.44432462604,16142.093457275776,420530.94165519753,472069.47943709936
12kWh,December,17236.21837721275,2857.6703632385343,563263.074960738,583356.9637011893
15kWh,January,30233.73695667916,10916.247861673357,483978.9533826531,525128.9382010057
15kWh,February,49599.53764661866,18413.570657869946,384917.84753593436,452930.95584042295
15kWh,March,75145.76941463044,32624.771902341345,263007.5267829025,370778.0680998743
15kWh,April,77061.72528788217,31958.97984314312,161649.65418668813,270670.3593177134
