Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,22559.68,104832.99,7797.32,496313.06,49376336.54,654974.87,50527624.47
feb,119197.98,37009.98,83375.71,13152.55,814219.50,39269958.02,1104814.24,41188991.76
mar,110948.26,56071.96,56969.14,23303.41,1233583.08,26832464.65,1957486.31,30023534.04
apr,90470.90,57501.60,35014.37,22827.84,1265035.16,16491766.16,1917538.79,19674340.12
may,87722.09,62411.71,27408.99,23412.88,1373057.51,12909634.42,1966681.98,16249373.92
jun,62451.53,49497.46,14704.17,19361.62,1088944.17,6925666.09,1626376.14,9640986.40
jul,56655.44,47253.79,11413.55,22181.35,1039583.30,5375781.67,1863233.37,8278598.34
aug,65733.53,53956.13,13864.47,23075.11,1187034.80,6530164.61,1938309.65,9655509.06
sep,93436.66,52842.41,42733.55,23876.20,1162533.05,20127501.88,2005601.07,23295636.00
oct,98490.83,40286.83,59863.06,18322.28,886310.23,28195502.29,1539071.89,30620884.41
nov,116452.98,27939.80,89699.56,12920.24,614675.65,42248494.83,1085299.91,43948470.40
dec,134654.74,12861.25,122014.00,2033.64,282947.50,57468592.71,170825.60,57922365.81
