Month,Total Demand (kWh),PV Production (kWh),Grid Import (kWh),Battery Discharge (kWh),CO2 from PV Production (gCO2eq),CO2 from Grid Import (gCO2eq),CO2 from Battery Discharge (gCO2eq),Total CO2 Emissions (gCO2eq)
jan,126664.50,0.00,126664.50,0.00,0.00,59658979.50,0.00,59658979.50
feb,119197.98,0.00,119197.98,0.00,0.00,56142248.58,0.00,56142248.58
mar,110948.26,0.00,110948.26,0.00,0.00,52256630.46,0.00,52256630.46
apr,90470.90,0.00,90470.90,0.00,0.00,42611793.90,0.00,42611793.90
may,87722.09,0.00,87722.09,0.00,0.00,41317104.39,0.00,41317104.39
jun,62451.53,0.00,62451.53,0.00,0.00,29414670.63,0.00,29414670.63
jul,56655.44,0.00,56655.44,0.00,0.00,26684712.24,0.00,26684712.24
aug,65733.53,0.00,65733.53,0.00,0.00,30960492.63,0.00,30960492.63
sep,93436.66,0.00,93436.66,0.00,0.00,44008666.86,0.00,44008666.86
oct,98490.83,0.00,98490.83,0.00,0.00,46389180.93,0.00,46389180.93
nov,116452.98,0.00,116452.98,0.00,0.00,54849353.58,0.00,54849353.58
dec,134654.74,0.00,134654.74,0.00,0.00,63422382.54,0.00,63422382.54
