Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoPV,PV_NoBattery
jan,382760.44,413257.95,438502.80,453950.80,457534.76,221650.11,305082.85,0.00,0.00
feb,603233.78,697085.17,848527.52,1015323.62,1418444.64,322072.04,459377.05,0.00,0.00
mar,1021351.22,1235080.65,1562023.60,1838358.55,2431674.80,490878.35,725413.60,0.00,0.00
apr,988624.47,1209875.67,1565483.55,1944750.33,2669094.97,446947.38,684720.37,0.00,0.00
may,1019316.18,1240882.68,1497907.89,1742163.78,2331506.37,431540.38,686235.12,0.00,0.00
jun,897301.62,1026165.90,1202004.59,1346151.36,1631569.31,415196.99,656976.60,0.00,0.00
jul,1019992.99,1175611.53,1316939.76,1403364.20,1606778.16,448978.12,703755.44,0.00,0.00
aug,1053887.12,1222981.09,1416400.16,1572358.23,1786441.33,467720.43,725934.10,0.00,0.00
sep,1018874.94,1265438.77,1623916.30,1877702.31,2348518.30,440864.53,690121.44,0.00,0.00
oct,819857.86,971081.08,1161961.12,1332858.32,1538313.50,421811.54,601301.58,0.00,0.00
nov,611093.54,684772.56,765727.66,805714.30,833285.58,326637.37,463933.13,0.00,0.00
dec,108183.24,107782.82,107164.51,106256.24,107442.18,94844.35,108622.76,0.00,0.00
