Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoPV,PV_NoBattery
jan,482473.55,496313.06,508059.47,515499.33,518989.09,409050.87,447092.11,0.00,308752.26
feb,771787.54,814219.50,882924.67,958781.97,1143088.98,644294.69,706699.00,0.00,498733.89
mar,1136806.79,1233583.08,1381760.09,1507411.34,1779182.95,896671.06,1002816.36,0.00,674865.67
apr,1164808.25,1265035.16,1426397.61,1598271.46,1930764.32,919757.37,1027300.19,0.00,717831.22
may,1272720.06,1373057.51,1490122.74,1601002.69,1870727.08,1006779.37,1122075.19,0.00,811804.82
jun,1030358.95,1088944.17,1168961.69,1234747.71,1366781.25,812135.94,921504.89,0.00,624486.17
jul,968753.08,1039583.30,1104046.73,1143236.10,1239302.16,710209.49,825488.93,0.00,507331.91
aug,1110222.79,1187034.80,1274982.88,1346062.62,1446686.04,844802.60,961637.76,0.00,633466.83
sep,1050909.95,1162533.05,1325042.77,1440591.42,1657095.11,789362.71,902195.48,0.00,590191.96
oct,817938.95,886310.23,973063.38,1051000.84,1146286.59,637343.15,718723.28,0.00,446720.63
nov,581063.38,614675.65,651489.59,670022.95,684446.73,452021.92,514329.09,0.00,304329.93
dec,282947.50,282947.50,282947.50,282947.50,282947.50,276442.65,282892.91,0.00,233356.30
