Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoPV,PV_NoBattery
jan,842485.19,838476.39,835158.05,833127.46,832656.36,863662.58,852695.64,994316.32,892797.72
feb,698559.63,686223.19,666316.62,644391.85,591402.99,735517.37,717469.10,935704.14,777852.63
mar,529950.69,501856.70,458881.18,422557.90,344568.53,599679.51,568850.67,870943.84,664203.77
apr,384767.53,355684.82,308941.40,259088.09,163875.50,455969.11,424714.67,710196.57,514718.80
may,342559.22,313435.07,279650.00,247543.40,170076.36,419820.32,386341.57,688618.41,476544.81
jun,241580.55,224641.78,201528.39,182580.80,145063.60,304951.53,273170.44,490244.51,359527.74
jul,194922.70,174467.18,155890.08,144529.88,117791.82,269980.63,236491.03,444745.20,328997.25
aug,213351.28,191124.46,165700.20,145200.05,117059.56,290400.86,256459.57,516008.21,351881.10
sep,444801.88,412391.92,365271.28,331911.99,270024.86,520779.35,488015.39,733477.78,578729.46
oct,525999.37,506121.60,481031.08,458567.23,431560.86,578321.18,554727.84,773153.02,633766.85
nov,736646.75,726961.90,716320.63,711064.53,707440.38,774037.53,755990.48,914155.89,816972.89
dec,964269.42,964322.05,964403.33,964522.71,965258.15,966022.77,964211.64,1057039.71,978489.73
