Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoPV,PV_NoBattery
jan,6379.34,6887.63,7308.38,7565.85,7625.58,3694.17,5084.71,0.00,0.00
feb,10053.90,11618.09,14142.13,16922.06,23640.74,5367.87,7656.28,0.00,0.00
mar,17022.52,20584.68,26033.73,30639.31,40527.91,8181.31,12090.23,0.00,0.00
apr,16477.07,20164.59,26091.39,32412.51,44484.92,7449.12,11412.01,0.00,0.00
may,16988.60,20681.38,24965.13,29036.06,38858.44,7192.34,11437.25,0.00,0.00
jun,14955.03,17102.77,20033.41,22435.86,27192.82,6919.95,10949.61,0.00,0.00
jul,16999.88,19593.53,21949.00,23389.40,26779.64,7482.97,11729.26,0.00,0.00
aug,17564.79,20383.02,23606.67,26205.97,29774.02,7795.34,12098.90,0.00,0.00
sep,16981.25,21090.65,27065.27,31295.04,39141.97,7347.74,11502.02,0.00,0.00
oct,13664.30,16184.68,19366.02,22214.31,25638.56,7030.19,10021.69,0.00,0.00
nov,10184.89,11412.88,12762.13,13428.57,13888.09,5443.96,7732.22,0.00,0.00
dec,1803.05,1796.38,1786.08,1770.94,1790.70,1580.74,1810.38,0.00,0.00
