Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoPV,PV_NoBattery
jan,827456.03,822938.94,819199.85,816911.80,816380.96,851318.59,838961.10,994316.32,884147.90
feb,668399.93,654499.30,632068.69,607363.98,547656.44,710043.70,689707.01,935704.14,757746.82
mar,478863.90,447207.74,398783.17,357854.32,269976.35,557433.93,522696.17,870943.84,630139.50
apr,307632.99,274862.77,222192.55,166018.12,58733.12,387862.53,352645.21,710196.57,454061.33
may,247977.50,215160.57,177091.75,140914.22,53624.80,335034.86,297311.20,688618.41,398951.69
jun,134514.27,115427.77,89383.74,68033.70,25759.53,205920.33,170109.58,490244.51,267416.49
jul,112645.52,89596.36,68663.78,55863.18,25734.89,197220.37,159484.48,444745.20,263719.96
aug,133881.13,108836.08,80188.16,57088.71,25380.17,220700.16,182455.30,516008.21,289975.73
sep,371977.72,335458.36,282363.11,244774.05,175039.98,457588.70,420670.46,733477.78,522886.56
oct,492323.19,469925.04,441653.18,416341.05,385910.42,551279.11,524694.26,773153.02,613754.97
nov,715054.42,704141.58,692151.06,686228.51,682144.84,757186.13,736850.82,914155.89,805565.44
dec,957750.57,957809.88,957901.46,958035.99,958751.66,959726.24,957685.47,1057039.71,973773.94
