Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoPV,PV_NoBattery
jan,901505.85,913338.76,936849.67,967261.61,1097530.78,887218.41,891210.92,994316.32,892797.72
feb,753905.74,756355.10,761174.49,769169.79,840262.24,757399.50,753412.82,935704.14,777852.63
mar,578328.17,563022.02,541847.45,533618.59,576540.62,618748.21,600360.44,870943.84,664203.77
apr,433690.45,417270.23,391850.01,368375.59,391890.58,475769.99,456902.67,710196.57,514718.80
may,390970.62,374503.69,363684.86,360207.34,403717.92,439877.98,418504.32,688618.41,476544.81
jun,292025.52,289289.02,290494.98,301844.94,390370.78,325281.58,305820.83,490244.51,359527.74
jul,243322.82,236623.66,242941.08,262840.48,363512.19,289747.66,268361.78,444745.20,328997.25
aug,261186.50,252491.45,251093.53,260694.08,359785.54,309855.52,287960.67,516008.21,351881.10
sep,493220.63,473051.27,447206.01,442316.95,503382.89,540681.61,520113.36,733477.78,578729.46
oct,577735.07,571686.92,570665.06,578052.93,678422.30,598540.99,588306.14,773153.02,633766.85
nov,791861.86,797299.03,812558.51,839335.96,966052.29,795843.58,791858.26,914155.89,816972.89
dec,1027866.36,1044275.67,1071617.25,1104451.78,1235967.45,991692.03,1006001.26,1057039.71,978489.73
