Month,Demand (kWh),PV Production (kWh),Grid Import (kWh),Grid Export (kWh),PV Self-Consumption (kWh),Self-Sufficiency (kWh),Self-Consumption Rate (%),Self-Sufficiency Rate (%),Battery Charge (kWh),Battery Discharge (kWh)
jan,2111.08,393.17,1739.28,8.28,384.89,371.80,97.89,17.61,150.99,137.89
feb,1986.63,913.90,1341.97,245.02,668.88,644.66,73.19,32.45,291.05,266.83
mar,1849.14,1548.38,846.67,501.59,1046.79,1002.46,67.61,54.21,535.53,491.20
apr,1507.85,2757.16,471.75,1676.55,1080.60,1036.10,39.19,68.71,536.79,492.29
may,1462.03,3526.96,375.99,2398.08,1128.88,1086.04,32.01,74.28,513.88,471.04
jun,1040.86,4186.87,189.77,3301.30,885.58,851.08,21.15,81.77,412.48,377.99
jul,944.26,2967.15,145.78,2130.75,836.40,798.47,28.19,84.56,452.06,414.13
aug,1095.56,2813.88,170.25,1847.98,965.90,925.31,34.33,84.46,486.00,445.41
sep,1557.28,2538.31,599.50,1534.49,1003.82,957.78,39.55,61.50,556.71,510.67
oct,1641.51,909.63,937.69,172.46,737.17,703.82,81.04,42.88,398.74,365.40
nov,1940.88,518.52,1469.54,24.97,493.55,471.35,95.18,24.29,263.00,240.79
dec,2244.25,214.35,2033.76,0.00,214.35,210.48,100.00,9.38,37.57,33.70
