Month,Demand (kWh),PV Production (kWh),Grid Import (kWh),Grid Export (kWh),PV Self-Consumption (kWh),Self-Sufficiency (kWh),Self-Consumption Rate (%),Self-Sufficiency Rate (%)
jan,2111.08,393.17,1877.17,159.27,233.90,233.90,59.49,11.08
feb,1986.63,913.90,1608.80,536.07,377.83,377.83,41.34,19.02
mar,1849.14,1548.38,1337.88,1037.11,511.26,511.26,33.02,27.65
apr,1507.85,2757.16,964.04,2213.35,543.81,543.81,19.72,36.07
may,1462.03,3526.96,847.03,2911.96,615.00,615.00,17.44,42.06
jun,1040.86,4186.87,567.76,3713.78,473.10,473.10,11.30,45.45
jul,944.26,2967.15,559.91,2582.81,384.34,384.34,12.95,40.70
aug,1095.56,2813.88,615.66,2333.98,479.90,479.90,17.05,43.80
sep,1557.28,2538.31,1110.16,2091.20,447.12,447.12,17.61,28.71
oct,1641.51,909.63,1303.09,571.21,338.42,338.42,37.20,20.62
nov,1940.88,518.52,1710.33,287.97,230.55,230.55,44.46,11.88
dec,2244.25,214.35,2067.46,37.57,176.79,176.79,82.47,7.88
