Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
PV_NoBattery,jan,2111.07,0,159.27,159.27,1877.17,1877.17,233.9,159.27,393.17,2111.07,0
PV_NoBattery,feb,1986.63,0,536.07,536.07,1608.8,1608.8,377.83,536.07,913.9,1986.63,0
PV_NoBattery,mar,1849.14,0,1037.11,1037.11,1337.88,1337.88,511.26,1037.11,1548.38,1849.14,0
PV_NoBattery,apr,1507.85,0,2213.35,2213.35,964.04,964.04,543.81,2213.35,2757.16,1507.85,0
PV_NoBattery,may,1462.03,0,2911.96,2911.96,847.03,847.03,615,2911.96,3526.96,1462.03,0
PV_NoBattery,jun,1040.86,0,3713.78,3713.78,567.76,567.76,473.1,3713.78,4186.87,1040.86,0
PV_NoBattery,jul,944.26,0,2582.81,2582.81,559.91,559.91,384.34,2582.81,2967.15,944.26,0
PV_NoBattery,aug,1095.56,0,2333.98,2333.98,615.66,615.66,479.9,2333.98,2813.88,1095.56,0
PV_NoBattery,sep,1557.28,0,2091.2,2091.2,1110.16,1110.16,447.12,2091.2,2538.31,1557.28,0
PV_NoBattery,oct,1641.51,0,571.21,571.21,1303.09,1303.09,338.42,571.21,909.63,1641.51,0
PV_NoBattery,nov,1940.88,0,287.97,287.97,1710.33,1710.33,230.55,287.97,518.52,1940.88,0
PV_NoBattery,dec,2244.25,0,37.57,37.57,2067.46,2067.46,176.79,37.57,214.35,2244.25,0
5kWh,jan,2111.07,75.98,83.29,83.29,1807.47,1807.47,309.89,83.29,393.17,2111.07,69.7
5kWh,feb,1986.63,110.27,425.8,425.8,1507.52,1507.52,488.1,425.8,913.9,1986.63,101.28
5kWh,mar,1849.14,168.03,869.08,869.08,1183.51,1183.51,679.3,869.08,1548.38,1849.14,154.36
5kWh,apr,1507.85,152.97,2060.37,2060.37,823.49,823.49,696.79,2060.37,2757.16,1507.85,140.55
5kWh,may,1462.03,147.71,2764.25,2764.25,711.33,711.33,762.71,2764.25,3526.96,1462.03,135.7
5kWh,jun,1040.86,142.16,3571.62,3571.62,437.2,437.2,615.25,3571.62,4186.87,1040.86,130.57
5kWh,jul,944.26,153.7,2429.11,2429.11,418.73,418.73,538.04,2429.11,2967.15,944.26,141.19
5kWh,aug,1095.56,160.1,2173.88,2173.88,468.58,468.58,640,2173.88,2813.88,1095.56,147.08
