Month,Demand (kWh),PV Production (kWh),Grid Import (kWh),Grid Export (kWh),PV Self-Consumption (kWh),Self-Sufficiency (kWh),Self-Consumption Rate (%),Self-Sufficiency Rate (%),Battery Charge (kWh),Battery Discharge (kWh)
jan,2111.08,393.17,1807.56,83.30,309.88,303.52,78.81,14.38,75.97,69.62
feb,1986.63,913.90,1507.61,425.80,488.10,479.03,53.41,24.11,110.28,101.20
mar,1849.14,1548.38,1183.58,869.08,679.29,665.56,43.87,35.99,168.03,154.30
apr,1507.85,2757.16,823.52,2060.30,696.86,684.33,25.27,45.38,153.04,140.52
may,1462.03,3526.96,711.36,2764.23,762.73,750.67,21.63,51.34,147.73,135.67
jun,1040.86,4186.87,437.21,3571.64,615.24,603.65,14.69,58.00,142.14,130.55
jul,944.26,2967.15,418.74,2429.15,538.00,525.52,18.13,55.65,153.65,141.17
aug,1095.56,2813.88,468.61,2173.90,639.98,626.95,22.74,57.23,160.08,147.05
sep,1557.28,2538.31,971.55,1940.29,598.02,585.73,23.56,37.61,150.91,138.61
oct,1641.51,909.63,1170.53,426.79,482.84,470.98,53.08,28.69,144.41,132.56
nov,1940.88,518.52,1607.67,176.11,342.42,333.22,66.04,17.17,111.86,102.66
dec,2244.25,214.35,2037.67,4.93,209.42,206.58,97.70,9.20,32.64,29.79
