Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,PV_NoBattery
jan,22644.25,25876.28,31381.92,37344.13,53518.45,12370.86,17676.57,0.00
feb,23084.53,26525.95,31536.40,36119.98,46629.62,11710.51,17273.88,0.00
mar,22019.31,26290.63,33073.26,39154.74,51388.77,11295.60,16046.83,0.00
apr,17842.39,21560.03,27614.25,34360.57,47244.36,8360.26,12579.60,0.00
may,19071.40,23413.09,28903.39,34427.78,64053.86,8191.03,12875.56,0.00
jun,15583.09,17926.16,20880.87,23630.08,29357.18,7018.61,11182.71,0.00
jul,19085.44,22492.50,26332.50,29237.45,37457.06,8290.63,13069.74,0.00
aug,17662.32,20308.95,23586.78,26172.09,30198.89,8176.84,12441.92,0.00
sep,18154.98,22132.15,27655.91,32043.83,41850.54,8360.29,12625.69,0.00
oct,21273.08,25521.80,31229.84,36184.71,46957.37,10827.58,15493.34,0.00
nov,21892.91,25818.81,31150.73,36398.76,48734.50,11162.94,15929.72,0.00
dec,20798.74,24402.73,29818.83,36023.99,56499.32,10430.47,15286.89,0.00
