Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,PV_NoBattery
jan,862318.04,861060.67,861504.64,865664.32,885186.95,870939.77,865920.57,891133.96
feb,678683.66,666418.21,646131.85,623099.72,567619.70,715037.28,697206.70,757746.82
mar,527929.18,503501.07,467209.19,438621.92,383942.43,589486.30,562069.91,646806.63
apr,377977.54,354458.23,315804.84,276950.63,218804.96,435528.39,410421.63,482727.48
may,373681.30,358264.09,348727.62,344906.00,385174.71,420281.57,399856.21,455055.28
jun,197690.55,185813.62,169988.89,161438.29,162351.24,247590.49,221089.67,293476.92
jul,204181.28,193845.99,189010.62,191985.05,208979.01,255298.66,231220.99,298069.37
aug,188391.27,169657.33,149902.05,137409.01,157554.26,256239.95,226076.03,309187.50
sep,446206.76,421324.84,384685.33,366713.49,359349.28,504351.43,479176.68,546471.11
oct,599688.13,588229.26,571983.51,561249.81,584482.28,624443.36,614251.75,652908.24
nov,746171.57,740158.85,732610.04,730646.24,740610.53,771580.56,759303.78,807704.76
dec,995493.21,998506.31,1003304.04,1008611.34,1038288.48,986318.17,990396.26,986902.60
