Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,PV_NoBattery
jan,8649.82,8649.82,8649.82,8649.82,8649.82,8649.82,8649.82,8649.82
feb,20105.80,20105.80,20105.80,20105.80,20105.80,20105.80,20105.80,20105.80
mar,34064.27,34064.27,34064.27,34064.27,34064.27,34064.27,34064.27,34064.27
apr,60657.46,60657.46,60657.46,60657.46,60657.46,60657.46,60657.46,60657.46
may,77593.12,77593.12,77593.12,77593.12,77593.12,77593.12,77593.12,77593.12
jun,92111.25,92111.25,92111.25,92111.25,92111.25,92111.25,92111.25,92111.25
jul,65277.30,65277.30,65277.30,65277.30,65277.30,65277.30,65277.30,65277.30
aug,61905.37,61905.37,61905.37,61905.37,61905.37,61905.37,61905.37,61905.37
sep,55842.90,55842.90,55842.90,55842.90,55842.90,55842.90,55842.90,55842.90
oct,20011.88,20011.88,20011.88,20011.88,20011.88,20011.88,20011.88,20011.88
nov,11407.45,11407.45,11407.45,11407.45,11407.45,11407.45,11407.45,11407.45
dec,4715.79,4715.79,4715.79,4715.79,4715.79,4715.79,4715.79,4715.79
