Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,PV_NoBattery
jan,936367.86,951460.49,979154.46,1016014.13,1166336.77,906839.58,918170.39,899783.78
feb,764189.46,768274.01,775237.66,784905.52,860225.51,762393.09,760912.50,777852.63
mar,627393.45,619315.34,610273.47,614386.19,690506.71,650800.57,639734.18,680870.90
apr,504035.00,496865.69,485462.30,479308.09,551962.43,523435.85,514679.09,543384.94
may,516674.42,517607.21,535320.74,564199.12,735267.83,525124.69,521049.33,532648.40
jun,355201.80,359674.87,371100.14,395249.54,526962.49,366951.74,356800.92,385588.17
jul,334858.58,340873.29,363287.92,398962.35,546756.31,347825.95,340098.29,363346.67
aug,315696.64,313312.70,320807.41,341014.38,491959.63,345395.32,331581.40,371092.87
sep,567449.66,558917.74,549528.23,564256.40,687692.18,587444.34,578619.58,602314.01
oct,685100.00,689991.14,700995.39,722961.69,876994.15,671705.24,677863.63,672920.12
nov,822979.02,833316.30,853017.49,883753.68,1024517.97,810238.01,814311.23,819112.21
dec,1065609.00,1084972.10,1117019.83,1155027.13,1315504.27,1018283.96,1038712.05,991618.39
