Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
PV_NoBattery,jan,2111.07,0.00,174.10,174.10,1892.00,1892.00,219.07,174.10,393.17,2111.07,0.00
PV_NoBattery,feb,1986.63,0.00,536.07,536.07,1608.80,1608.80,377.83,536.07,913.90,1986.63,0.00
PV_NoBattery,mar,1849.14,0.00,1072.50,1072.50,1373.26,1373.26,475.88,1072.50,1548.38,1849.14,0.00
PV_NoBattery,apr,1507.85,0.00,2274.21,2274.21,1024.90,1024.90,482.95,2274.21,2757.16,1507.85,0.00
PV_NoBattery,may,1462.03,0.00,3031.07,3031.07,966.15,966.15,495.89,3031.07,3526.96,1462.03,0.00
PV_NoBattery,jun,1040.86,0.00,3769.11,3769.11,623.09,623.09,417.77,3769.11,4186.87,1040.86,0.00
PV_NoBattery,jul,944.26,0.00,2655.74,2655.74,632.84,632.84,311.41,2655.74,2967.15,944.26,0.00
PV_NoBattery,aug,1095.56,0.00,2374.77,2374.77,656.45,656.45,439.11,2374.77,2813.88,1095.56,0.00
PV_NoBattery,sep,1557.28,0.00,2141.27,2141.27,1160.24,1160.24,397.04,2141.27,2538.31,1557.28,0.00
PV_NoBattery,oct,1641.51,0.00,654.33,654.33,1386.22,1386.22,255.30,654.33,909.63,1641.51,0.00
PV_NoBattery,nov,1940.88,0.00,292.51,292.51,1714.87,1714.87,226.01,292.51,518.52,1940.88,0.00
PV_NoBattery,dec,2244.25,0.00,65.44,65.44,2095.33,2095.33,148.91,65.44,214.35,2244.25,0.00
5kWh,jan,2111.07,254.22,110.42,110.42,1849.13,1849.13,282.75,110.42,393.17,2111.07,233.41
5kWh,feb,1986.63,240.52,425.82,425.82,1518.13,1518.13,488.08,425.82,913.90,1986.63,220.95
