Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
PV_NoBattery,jan,2111.07,0.00,159.27,159.27,1877.17,1877.17,233.90,159.27,393.17,2111.07,0.00
PV_NoBattery,feb,1986.63,0.00,536.07,536.07,1608.80,1608.80,377.83,536.07,913.90,1986.63,0.00
PV_NoBattery,mar,1849.14,0.00,1037.11,1037.11,1337.88,1337.88,511.26,1037.11,1548.38,1849.14,0.00
PV_NoBattery,apr,1507.85,0.00,2213.35,2213.35,964.04,964.04,543.81,2213.35,2757.16,1507.85,0.00
PV_NoBattery,may,1462.03,0.00,2862.52,2862.52,797.59,797.59,664.44,2862.52,3526.96,1462.03,0.00
PV_NoBattery,jun,1085.88,0.00,3613.39,3613.39,512.39,512.39,573.49,3613.39,4186.87,1085.88,0.00
PV_NoBattery,jul,899.40,0.00,2540.69,2540.69,472.94,472.94,426.46,2540.69,2967.15,899.40,0.00
PV_NoBattery,aug,1095.56,0.00,2324.49,2324.49,606.17,606.17,489.39,2324.49,2813.88,1095.56,0.00
PV_NoBattery,sep,1557.28,0.00,2057.70,2057.70,1076.67,1076.67,480.61,2057.70,2538.31,1557.28,0.00
PV_NoBattery,oct,1641.51,0.00,571.21,571.21,1303.09,1303.09,338.42,571.21,909.63,1641.51,0.00
PV_NoBattery,nov,1940.88,0.00,287.97,287.97,1710.33,1710.33,230.55,287.97,518.52,1940.88,0.00
PV_NoBattery,dec,2244.25,0.00,37.57,37.57,2067.46,2067.46,176.79,37.57,214.35,2244.25,0.00
5kWh,jan,2111.07,75.97,83.30,83.30,1807.44,1807.44,309.88,83.30,393.17,2111.07,69.73
5kWh,feb,1986.63,110.25,425.82,425.82,1507.49,1507.49,488.08,425.82,913.90,1986.63,101.31
5kWh,mar,1849.14,167.96,869.15,869.15,1183.47,1183.47,679.22,869.15,1548.38,1849.14,154.41
5kWh,apr,1507.85,152.91,2060.43,2060.43,823.46,823.46,696.72,2060.43,2757.16,1507.85,140.58
5kWh,may,1462.03,151.69,2710.82,2710.82,658.14,658.14,816.14,2710.82,3526.96,1462.03,139.45
5kWh,jun,1085.88,148.81,3464.58,3464.58,375.61,375.61,722.30,3464.58,4186.87,1085.88,136.79
5kWh,jul,899.40,160.04,2380.65,2380.65,325.85,325.85,586.50,2380.65,2967.15,899.40,147.09
5kWh,aug,1095.56,158.95,2165.54,2165.54,460.07,460.07,648.34,2165.54,2813.88,1095.56,146.10
5kWh,sep,1557.28,149.52,1908.19,1908.19,939.22,939.22,630.13,1908.19,2538.31,1557.28,137.45
5kWh,oct,1641.51,144.37,426.84,426.84,1170.42,1170.42,482.79,426.84,909.63,1641.51,132.67
5kWh,nov,1940.88,111.86,176.11,176.11,1607.59,1607.59,342.41,176.11,518.52,1940.88,102.74
5kWh,dec,2244.25,32.64,4.93,4.93,2037.62,2037.62,209.42,4.93,214.35,2244.25,29.84
8kWh,jan,2111.07,104.80,54.47,54.47,1781.06,1781.06,338.70,54.47,393.17,2111.07,96.11
8kWh,feb,1986.63,157.53,378.54,378.54,1464.11,1464.11,535.36,378.54,913.90,1986.63,144.70
8kWh,mar,1849.14,248.42,788.70,788.70,1109.62,1109.62,759.68,788.70,1548.38,1849.14,228.26
8kWh,apr,1507.85,234.42,1978.92,1978.92,748.61,748.61,778.23,1978.92,2757.16,1507.85,215.43
8kWh,may,1462.03,239.84,2622.68,2622.68,577.21,577.21,904.28,2622.68,3526.96,1462.03,220.38
8kWh,jun,1085.88,233.43,3379.95,3379.95,297.92,297.92,806.92,3379.95,4186.87,1085.88,214.47
8kWh,jul,899.40,246.86,2293.83,2293.83,246.18,246.18,673.32,2293.83,2967.15,899.40,226.76
8kWh,aug,1095.56,247.48,2077.01,2077.01,378.83,378.83,736.87,2077.01,2813.88,1095.56,227.34
8kWh,sep,1557.28,231.72,1825.98,1825.98,863.74,863.74,712.33,1825.98,2538.31,1557.28,212.93
8kWh,oct,1641.51,206.05,365.16,365.16,1113.85,1113.85,544.47,365.16,909.63,1641.51,189.24
8kWh,nov,1940.88,159.09,128.88,128.88,1564.31,1564.31,389.64,128.88,518.52,1940.88,146.02
8kWh,dec,2244.25,37.53,0.04,0.04,2033.25,2033.25,214.31,0.04,214.35,2244.25,34.21
12kWh,jan,2111.07,131.61,27.66,27.66,1756.60,1756.60,365.51,27.66,393.17,2111.07,120.57
12kWh,feb,1986.63,206.85,329.22,329.22,1418.90,1418.90,584.68,329.22,913.90,1986.63,189.90
12kWh,mar,1849.14,349.92,687.19,687.19,1016.51,1016.51,861.19,687.19,1548.38,1849.14,321.36
12kWh,apr,1507.85,338.55,1874.79,1874.79,653.06,653.06,882.36,1874.79,2757.16,1507.85,310.98
12kWh,may,1462.03,354.51,2508.01,2508.01,472.01,472.01,1018.95,2508.01,3526.96,1462.03,325.58
12kWh,jun,1085.88,316.38,3297.01,3297.01,221.87,221.87,889.86,3297.01,4186.87,1085.88,290.53
12kWh,jul,899.40,354.13,2186.56,2186.56,147.87,147.87,780.59,2186.56,2967.15,899.40,325.07
12kWh,aug,1095.56,360.02,1964.47,1964.47,275.67,275.67,849.42,1964.47,2813.88,1095.56,330.50
12kWh,sep,1557.28,337.71,1719.99,1719.99,766.51,766.51,818.32,1719.99,2538.31,1557.28,310.16
