Month,PV_NoBattery,5kWh,8kWh,12kWh,15kWh,20kWh,26kWh,50kWh
apr,160.35,123.38,103.70,78.59,60.30,30.92,-0.38,-60.06
aug,27.64,-10.77,-32.12,-59.23,-73.19,-89.16,-101.76,-119.26
dec,720.61,712.77,711.63,711.68,711.73,711.81,711.91,712.42
feb,520.19,493.56,482.16,470.28,462.56,450.06,436.29,403.07
jan,644.27,625.94,619.01,612.60,610.12,608.06,606.82,606.63
jul,-34.46,-73.16,-94.19,-120.07,-132.63,-143.79,-149.43,-160.60
jun,-105.14,-141.07,-161.49,-181.47,-192.13,-206.64,-218.53,-237.99
mar,385.29,344.68,325.27,300.80,283.15,256.16,233.34,184.46
may,52.58,15.95,-5.32,-32.97,-51.27,-72.49,-92.66,-141.26
nov,575.58,548.57,537.20,525.05,518.96,512.32,509.04,506.88
oct,410.38,375.50,360.63,342.55,330.10,314.35,300.26,283.41
sep,216.36,180.27,159.59,132.36,112.56,84.78,65.02,26.31
Total,3573.63,3195.62,3006.07,2780.17,2640.26,2456.36,2299.94,2004.01
Installation Cost,0.00,5982.13,8000.61,10691.91,12710.39,16074.52,20111.48,36259.30
