Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoBattery
jan,7143.49,7910.20,8626.59,9023.56,9347.46,3968.86,5472.82,0.00
feb,10818.76,12605.54,15226.50,18230.54,26375.72,5592.79,8065.98,0.00
mar,17313.21,21014.05,26950.96,32521.97,43772.61,8160.22,12286.38,0.00
apr,16560.65,20376.70,26304.78,32556.11,44625.30,7343.01,11391.18,0.00
may,16994.65,20665.55,24930.16,28993.62,38739.26,7192.22,11444.03,0.00
jun,14939.05,17086.08,20007.32,22378.05,27123.47,6918.33,10950.29,0.00
jul,16978.43,19557.40,21896.13,23334.68,26721.08,7460.11,11708.56,0.00
aug,17555.20,20423.57,23657.23,26236.63,29663.00,7794.01,12091.01,0.00
sep,16931.18,21037.35,27011.17,31483.81,39702.57,7310.00,11449.95,0.00
oct,14262.59,16971.97,20929.88,24099.97,29785.12,7232.02,10476.89,0.00
nov,10787.52,12482.62,14258.04,15505.65,16530.26,5633.08,8126.45,0.00
dec,2378.10,2371.42,2360.08,2345.89,2301.16,1857.74,2278.81,0.00
