Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoBattery
jan,818001.21,811187.65,804821.26,801293.45,798415.05,846213.56,832848.13,881483.95
feb,658293.92,642415.20,619123.25,592426.97,520042.41,704735.98,682757.28,754437.98
mar,471921.19,439032.60,386272.50,336764.14,236781.97,553261.91,516593.60,625794.86
apr,303690.95,269778.45,217096.88,161542.57,54286.18,385606.19,349630.91,450862.00
may,245550.78,212928.26,175029.62,138918.41,52310.97,332662.98,294878.06,396578.74
jun,133348.34,114268.09,88307.64,67239.42,25067.88,204626.81,168795.60,266108.55
jul,112054.15,89135.42,68351.61,55567.46,25473.24,196641.48,158886.42,262937.95
aug,132537.88,107047.24,78310.35,55387.79,24938.37,219283.51,181096.95,288547.27
sep,370898.85,334408.14,281320.06,241572.63,168534.21,456400.28,419609.33,521362.69
oct,485046.42,460968.75,425795.58,397623.64,347100.90,547525.61,518689.13,611795.09
nov,707397.28,692333.29,676555.54,665468.28,656362.76,753203.70,731045.72,803263.76
dec,950142.56,950201.86,950302.69,950428.73,951023.25,954766.86,951024.88,971276.21
