Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoBattery
jan,9550.23,9550.23,9550.23,9550.23,9550.23,9550.23,9550.23,9550.23
feb,22612.64,22612.64,22612.64,22612.64,22612.64,22612.64,22612.64,22612.64
mar,38495.91,38495.91,38495.91,38495.91,38495.91,38495.91,38495.91,38495.91
apr,68703.18,68703.18,68703.18,68703.18,68703.18,68703.18,68703.18,68703.18
may,87964.88,87964.88,87964.88,87964.88,87964.88,87964.88,87964.88,87964.88
jun,104466.60,104466.60,104466.60,104466.60,104466.60,104466.60,104466.60,104466.60
jul,73934.38,73934.38,73934.38,73934.38,73934.38,73934.38,73934.38,73934.38
aug,70108.59,70108.59,70108.59,70108.59,70108.59,70108.59,70108.59,70108.59
sep,63267.19,63267.19,63267.19,63267.19,63267.19,63267.19,63267.19,63267.19
oct,22496.13,22496.13,22496.13,22496.13,22496.13,22496.13,22496.13,22496.13
nov,12705.84,12705.84,12705.84,12705.84,12705.84,12705.84,12705.84,12705.84
dec,5090.55,5090.55,5090.55,5090.55,5090.55,5090.55,5090.55,5090.55
