Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge,PV2_Direct_Consumption,PV2_to_Grid_Feedin,Total_PV2_Production
PV_NoBattery,jan,2111.07,0.00,194.54,194.54,1871.52,1871.52,231.24,161.93,393.17,2111.07,0.00,8.32,32.61,40.93
PV_NoBattery,feb,1986.63,0.00,642.99,642.99,1601.78,1601.78,364.07,549.83,913.90,1986.63,0.00,20.78,93.16,113.95
PV_NoBattery,mar,1849.14,0.00,1229.33,1229.33,1328.65,1328.65,471.16,1077.22,1548.38,1849.14,0.00,49.33,152.11,201.44
PV_NoBattery,apr,1507.85,0.00,2572.27,2572.27,957.24,957.24,430.98,2326.17,2757.16,1507.85,0.00,119.62,246.09,365.71
PV_NoBattery,may,1462.03,0.00,3378.36,3378.36,841.99,841.99,468.63,3058.33,3526.96,1462.03,0.00,151.41,320.03,471.44
PV_NoBattery,jun,1040.86,0.00,4272.61,4272.61,564.99,564.99,286.67,3900.21,4186.87,1040.86,0.00,189.20,372.40,561.61
PV_NoBattery,jul,944.26,0.00,2974.65,2974.65,558.25,558.25,253.54,2713.61,2967.15,944.26,0.00,132.47,261.04,393.50
PV_NoBattery,aug,1095.56,0.00,2703.82,2703.82,612.63,612.63,352.65,2461.23,2813.88,1095.56,0.00,130.28,242.59,372.87
PV_NoBattery,sep,1557.28,0.00,2425.43,2425.43,1106.93,1106.93,335.75,2202.57,2538.31,1557.28,0.00,114.60,222.87,337.47
PV_NoBattery,oct,1641.51,0.00,679.97,679.97,1298.93,1298.93,320.09,589.54,909.63,1641.51,0.00,22.49,90.43,112.92
PV_NoBattery,nov,1940.88,0.00,342.10,342.10,1705.44,1705.44,222.79,295.73,518.52,1940.88,0.00,12.65,46.37,59.02
PV_NoBattery,dec,2244.25,0.00,49.30,49.30,2062.16,2062.16,176.79,37.57,214.35,2244.25,0.00,5.30,11.73,17.03
5kWh,jan,2111.07,81.62,112.93,112.93,1796.63,1796.63,294.19,98.98,393.17,2111.07,74.88,26.98,13.95,40.93
5kWh,feb,1986.63,114.90,528.10,528.10,1496.25,1496.25,467.63,446.27,913.90,1986.63,105.52,32.12,81.83,113.95
5kWh,mar,1849.14,167.63,1061.66,1061.66,1174.65,1174.65,628.34,920.04,1548.38,1849.14,153.97,59.81,141.62,201.44
5kWh,apr,1507.85,150.84,2421.43,2421.43,818.70,818.70,586.72,2170.44,2757.16,1507.85,138.55,114.72,250.99,365.71
5kWh,may,1462.03,147.75,3230.61,3230.61,706.29,706.29,550.90,2976.06,3526.96,1462.03,135.70,216.89,254.55,471.44
5kWh,jun,1040.86,142.15,4130.46,4130.46,434.45,434.45,379.98,3806.89,4186.87,1040.86,130.53,238.04,323.57,561.61
5kWh,jul,944.26,153.28,2821.37,2821.37,417.50,417.50,310.11,2657.04,2967.15,944.26,140.76,229.18,164.33,393.50
5kWh,aug,1095.56,160.12,2543.70,2543.70,465.57,465.57,514.56,2299.33,2813.88,1095.56,147.06,128.50,244.38,372.87
5kWh,sep,1557.28,150.18,2275.25,2275.25,969.00,969.00,481.78,2056.54,2538.31,1557.28,137.92,118.75,218.72,337.47
5kWh,oct,1641.51,148.57,531.40,531.40,1162.47,1162.47,424.13,485.51,909.63,1641.51,136.45,67.03,45.89,112.92
